value	mean_E	var_E	mean_error	mean_abs_error	n_sims	subject	session	condition	sd_E	variant
2.5	3.14031996178627	9.852926359108949	0.6403199617862702	0.6403199617862702	1000	03	1	inverse_cdf	3.1389371384449465	unsmoothed
3.0	6.054909144878388	32.01415186299856	3.0549091448783874	3.0593609261512755	1000	03	1	inverse_cdf	5.658104971012694	unsmoothed
4.0	6.99055895113945	29.396684466182545	2.99055895113945	3.012001032114029	1000	03	1	inverse_cdf	5.421870937802056	unsmoothed
5.0	8.025192826986313	34.13785293113046	3.025192826986313	3.2476945793628693	1000	03	1	inverse_cdf	5.8427607285537935	unsmoothed
7.5	9.497804043293	21.404890523704623	1.9978040432929995	2.3930751547813416	1000	03	1	inverse_cdf	4.626541961736068	unsmoothed
11.5	11.927619635581973	5.454106692728298	0.4276196355819702	0.8563400945663452	1000	03	1	inverse_cdf	2.3354028973023686	unsmoothed
16.0	16.014372447013855	0.0330746836731568	0.0143724470138549	0.0305636301040649	1000	03	1	inverse_cdf	0.1818644651193762	unsmoothed
18.5	18.835967255592347	3.3447485046639835	0.3359672555923462	0.7541270360946656	1000	03	1	inverse_cdf	1.8288653599059674	unsmoothed
20.0	20.621375339508056	7.165137383394805	0.6213753395080567	1.589349575042725	1000	03	1	inverse_cdf	2.6767774250756835	unsmoothed
21.0	21.839893221378325	10.559448379613784	0.8398932213783264	2.14382302236557	1000	03	1	inverse_cdf	3.249530486026217	unsmoothed
21.5	22.30034876823425	6.894145931655731	0.8003487682342529	1.5663511486053467	1000	03	1	inverse_cdf	2.6256705679989123	unsmoothed
22.0	22.04331837081909	0.1862868712128429	0.0433183708190917	0.0583514709472656	1000	03	1	inverse_cdf	0.4316096282670753	unsmoothed
22.5	22.719396631240844	2.468109603343527	0.2193966312408447	0.5127037143707276	1000	03	1	inverse_cdf	1.5710218341396553	unsmoothed
23.0	23.62852065229416	11.39035046288466	0.628520652294159	1.9075408749580385	1000	03	1	inverse_cdf	3.374959327589691	unsmoothed
24.0	24.67848853683472	10.894698410051204	0.6784885368347168	2.0797587661743164	1000	03	1	inverse_cdf	3.3007118035434724	unsmoothed
25.5	25.989075363874434	16.12228199162158	0.4890753638744354	2.6605745804309846	1000	03	1	inverse_cdf	4.01525615516888	unsmoothed
28.0	28.25434140253067	15.07824833061912	0.2543414025306701	2.24278888463974	1000	03	1	inverse_cdf	3.883072022332205	unsmoothed
32.5	31.072619295597075	17.987750762124016	-1.4273807044029236	2.5639509024620057	1000	03	1	inverse_cdf	4.241196854913011	unsmoothed
36.5	33.244523424863814	19.7128845314204	-3.2554765751361847	3.449986462831497	1000	03	1	inverse_cdf	4.439919428482954	unsmoothed
39.0	36.86589691495895	14.6359718181692	-2.1341030850410463	2.1876969418525696	1000	03	1	inverse_cdf	3.8256988666345917	unsmoothed
40.0	37.051648609161376	17.244120100496747	-2.948351390838623	2.9768316459655764	1000	03	1	inverse_cdf	4.152604014410325	unsmoothed
41.0	40.6368790435791	2.54376352118204	-0.3631209564208984	0.364385025024414	1000	03	1	inverse_cdf	1.594918029612193	unsmoothed
41.5	36.89568776988983	26.398441805864685	-4.604312230110168	4.604312230110168	1000	03	1	inverse_cdf	5.137941397667424	unsmoothed
5.5	5.766719373703003	2.549044179070388	0.2667193737030029	0.2667193737030029	1000	03	2	cdf	1.5965726350750185	unsmoothed
8.0	9.017798606395722	5.805678643971781	1.0177986063957214	1.0781286149024962	1000	03	2	cdf	2.4094975916094588	unsmoothed
10.0	10.576183158397674	6.4059633556342686	0.5761831583976745	1.2395292630195618	1000	03	2	cdf	2.5310004653563913	unsmoothed
11.0	11.844467321395872	9.787187221289884	0.844467321395874	1.504102956771851	1000	03	2	cdf	3.1284480531550916	unsmoothed
11.5	12.292323744297027	9.585478468084286	0.7923237442970276	1.306965741634369	1000	03	2	cdf	3.0960423879663352	unsmoothed
12.0	13.010335319042206	12.339525636882373	1.0103353190422055	1.717019600391388	1000	03	2	cdf	3.512766094815078	unsmoothed
12.5	13.808806391716004	17.385291050853812	1.308806391716003	2.253708945274353	1000	03	2	cdf	4.169567249829869	unsmoothed
13.0	13.976178532600402	11.800099721215023	0.9761785326004028	1.5978094816207886	1000	03	2	cdf	3.435127322416889	unsmoothed
14.0	14.246033452987673	1.8948335901634612	0.2460334529876709	0.4243502693176269	1000	03	2	cdf	1.376529545692159	unsmoothed
16.0	16.29887698841095	3.1560920900591087	0.2988769884109497	0.6240957174301147	1000	03	2	cdf	1.7765393578694249	unsmoothed
18.5	18.688928626060484	2.6059555841318107	0.1889286260604858	0.4865687761306763	1000	03	2	cdf	1.6142972415673054	unsmoothed
22.0	22.128711933135985	1.5756128318773317	0.1287119331359863	0.2922285842895508	1000	03	2	cdf	1.2552341741194477	unsmoothed
25.5	25.565473786354065	0.8362322310973461	0.0654737863540649	0.1883797483444214	1000	03	2	cdf	0.9144573424153508	unsmoothed
28.0	27.82710804271698	3.4800790653850107	-0.17289195728302	0.6039928216934204	1000	03	2	cdf	1.865497002244981	unsmoothed
30.0	29.84283834552765	3.9354284189212554	-0.1571616544723511	0.7299385442733765	1000	03	2	cdf	1.98379142525651	unsmoothed
31.0	29.90399155712128	17.19383724778369	-1.0960084428787231	2.3920485048294067	1000	03	2	cdf	4.146545218345471	unsmoothed
31.5	30.349767401695253	16.273328476694257	-1.1502325983047486	2.1805799074172976	1000	03	2	cdf	4.034021377818201	unsmoothed
32.0	31.28153772830963	9.529140016904256	-0.7184622716903687	1.502378165245056	1000	03	2	cdf	3.0869305170191725	unsmoothed
32.5	31.953313568115234	7.050869220625027	-0.5466864318847656	1.3086663208007812	1000	03	2	cdf	2.6553472881386018	unsmoothed
