nvoxels	noise	quantity	roi	subject	rho	n	control_stim
100	full	gabor	BensonV1	03	0.2732202384220265	368	True
100	full	gabor	BensonV1	04	0.2839963765708028	368	True
100	full	gabor	BensonV1	05	0.32345149449598987	368	True
100	full	gabor	BensonV1	06	0.300496849003557	368	True
100	full	gabor	BensonV1	07	0.24956272279225578	368	True
100	full	gabor	BensonV1	08	0.25801690933625365	368	True
100	full	gabor	BensonV1	09	0.3622740533767143	368	True
100	full	gabor	BensonV1	10	0.3250098965271136	368	True
100	full	gabor	BensonV1	13	0.2800606409096907	368	True
100	full	gabor	BensonV1	14	0.37297458302150843	368	True
100	full	gabor	BensonV1	pil01	0.2506857739469469	368	True
100	full	gabor	BensonV1	pil02	0.37112963920777703	368	True
100	full	gabor	NPCr	03	0.0795842110180372	368	True
100	full	gabor	NPCr	04	0.1812675356347214	368	True
100	full	gabor	NPCr	05	0.12234370951694352	368	True
100	full	gabor	NPCr	06	0.13051207665257555	368	True
100	full	gabor	NPCr	07	0.1474984661586931	368	True
100	full	gabor	NPCr	08	0.18024730241378945	368	True
100	full	gabor	NPCr	09	0.1710088582345366	368	True
100	full	gabor	NPCr	10	0.18064918328368218	368	True
100	full	gabor	NPCr	13	0.1743086637713907	368	True
100	full	gabor	NPCr	14	0.21874334813718946	368	True
100	full	gabor	NPCr	pil01	0.19949087063433124	368	True
100	full	gabor	NPCr	pil02	0.12312868952644036	368	True
100	full	value	BensonV1	03	0.28020680129796205	368	True
100	full	value	BensonV1	04	0.382302360815339	368	True
100	full	value	BensonV1	05	0.3708074602959038	368	True
100	full	value	BensonV1	06	0.35359448606925353	368	True
100	full	value	BensonV1	07	0.3706237364470553	368	True
100	full	value	BensonV1	08	0.2940674774595158	368	True
100	full	value	BensonV1	09	0.3432941517544544	368	True
100	full	value	BensonV1	10	0.3516915115247587	368	True
100	full	value	BensonV1	13	0.14984305215638344	368	True
100	full	value	BensonV1	14	0.14227136614453456	368	True
100	full	value	BensonV1	pil01	0.2686415896856516	368	True
100	full	value	BensonV1	pil02	0.3344409738375313	368	True
100	full	value	NPCr	03	0.06507628753576956	368	True
100	full	value	NPCr	04	0.21641922940968544	368	True
100	full	value	NPCr	05	0.04778939034503484	368	True
100	full	value	NPCr	06	0.20876639669133337	368	True
100	full	value	NPCr	07	0.04930035646760922	368	True
100	full	value	NPCr	08	0.15431743821051527	368	True
100	full	value	NPCr	09	0.16927756796819243	368	True
100	full	value	NPCr	10	0.20099750251145446	368	True
100	full	value	NPCr	13	0.09253108376362759	368	True
100	full	value	NPCr	14	-0.02280005740467309	368	True
100	full	value	NPCr	pil01	0.017300863092744187	368	True
100	full	value	NPCr	pil02	0.19546194869601818	368	True
100	spherical	gabor	BensonV1	03	0.13572424759906881	368	True
100	spherical	gabor	BensonV1	04	0.19335887648652583	368	True
100	spherical	gabor	BensonV1	05	0.24688825255744562	368	True
100	spherical	gabor	BensonV1	06	0.11176622428468096	368	True
100	spherical	gabor	BensonV1	07	0.11751560087571022	368	True
100	spherical	gabor	BensonV1	08	0.18984404421700893	368	True
100	spherical	gabor	BensonV1	09	0.28613917936359795	368	True
100	spherical	gabor	BensonV1	10	0.16207910864797548	368	True
100	spherical	gabor	BensonV1	13	0.08952769245735342	368	True
100	spherical	gabor	BensonV1	14	0.22854885609630887	368	True
100	spherical	gabor	BensonV1	pil01	0.15437643210693452	368	True
100	spherical	gabor	BensonV1	pil02	0.240400609491227	368	True
100	spherical	gabor	NPCr	03	-0.009072779686451054	368	True
100	spherical	gabor	NPCr	04	0.12554045632862443	368	True
100	spherical	gabor	NPCr	05	-0.0615751803768482	368	True
100	spherical	gabor	NPCr	06	0.1216986293189552	368	True
100	spherical	gabor	NPCr	07	-0.03251960282901017	368	True
100	spherical	gabor	NPCr	08	0.0906709700908169	368	True
100	spherical	gabor	NPCr	09	0.1638356820127851	368	True
100	spherical	gabor	NPCr	10	0.05351324304618476	368	True
100	spherical	gabor	NPCr	13	0.1041632353890178	368	True
100	spherical	gabor	NPCr	14	0.024709051734516874	368	True
100	spherical	gabor	NPCr	pil01	0.09765994088089205	368	True
100	spherical	gabor	NPCr	pil02	0.08107350591335555	368	True
100	spherical	value	BensonV1	03	0.07783534297847422	368	True
100	spherical	value	BensonV1	04	0.3334477092549625	368	True
100	spherical	value	BensonV1	05	0.3588138807581655	368	True
100	spherical	value	BensonV1	06	0.30019971239873516	368	True
100	spherical	value	BensonV1	07	0.12201840031668888	368	True
100	spherical	value	BensonV1	08	0.18244091219492933	368	True
100	spherical	value	BensonV1	09	0.23369480940396423	368	True
100	spherical	value	BensonV1	10	0.293775638265801	368	True
100	spherical	value	BensonV1	13	-0.18118325863983675	368	True
100	spherical	value	BensonV1	14	0.24453018224057377	368	True
100	spherical	value	BensonV1	pil01	0.228887890407159	368	True
100	spherical	value	BensonV1	pil02	0.19380698930789805	368	True
100	spherical	value	NPCr	03	0.018037925610863738	368	True
100	spherical	value	NPCr	04	0.11715104267498073	368	True
100	spherical	value	NPCr	05	-0.027358479662275594	368	True
100	spherical	value	NPCr	06	0.06326288739726633	368	True
100	spherical	value	NPCr	07	-0.033185150297184766	368	True
100	spherical	value	NPCr	08	0.009482125090176386	368	True
100	spherical	value	NPCr	09	0.05045085784349136	368	True
100	spherical	value	NPCr	10	0.04268485316057995	368	True
100	spherical	value	NPCr	13	0.09750366725323456	368	True
100	spherical	value	NPCr	14	-0.13396863739991505	368	True
100	spherical	value	NPCr	pil01	-0.021612233359627756	368	True
100	spherical	value	NPCr	pil02	0.11537279808291509	368	True
fdr05	full	gabor	BensonV1	03	0.23884268904293118	368	True
fdr05	full	gabor	BensonV1	04	0.22702103457475756	368	True
fdr05	full	gabor	BensonV1	05	0.39455719903721964	368	True
fdr05	full	gabor	BensonV1	06	0.24808474509339334	368	True
fdr05	full	gabor	BensonV1	07	0.22994953975129137	368	True
fdr05	full	gabor	BensonV1	08	0.3190180429822306	368	True
fdr05	full	gabor	BensonV1	09	0.3153982256562288	368	True
fdr05	full	gabor	BensonV1	10	0.4206346683772489	368	True
fdr05	full	gabor	BensonV1	13	0.2629885296602048	368	True
fdr05	full	gabor	BensonV1	14	0.2635746159617739	368	True
fdr05	full	gabor	BensonV1	pil01	0.14107631835707057	368	True
fdr05	full	gabor	BensonV1	pil02	0.2884864140668417	368	True
fdr05	full	gabor	NPCr	03	0.03774453572044309	368	True
fdr05	full	gabor	NPCr	04	0.1305722745060646	368	True
fdr05	full	gabor	NPCr	05	0.17878955119369935	368	True
fdr05	full	gabor	NPCr	06	0.18108597890859848	368	True
fdr05	full	gabor	NPCr	07	0.02117471536046956	368	True
fdr05	full	gabor	NPCr	08	0.20980757876527945	368	True
fdr05	full	gabor	NPCr	09	0.20825230702253714	368	True
fdr05	full	gabor	NPCr	10	0.24345071433180865	368	True
fdr05	full	gabor	NPCr	13	0.16829056396238645	368	True
fdr05	full	gabor	NPCr	14	0.15394397072746938	368	True
fdr05	full	gabor	NPCr	pil01	0.1747259552917766	368	True
fdr05	full	gabor	NPCr	pil02	0.23916631270328817	368	True
fdr05	full	value	BensonV1	09	0.3583493941206442	368	True
fdr05	full	value	NPCr	03	0.09011955775285747	368	True
fdr05	full	value	NPCr	04	0.2770625470145236	368	True
fdr05	full	value	NPCr	05	0.02396861813660193	368	True
fdr05	full	value	NPCr	06	0.36498656865492957	368	True
fdr05	full	value	NPCr	08	0.02158574630409259	368	True
fdr05	full	value	NPCr	09	0.21318275201470177	368	True
fdr05	full	value	NPCr	pil01	0.06578180637866088	368	True
fdr05	full	value	NPCr	pil02	0.2991004995940257	368	True
fdr05	spherical	gabor	BensonV1	03	0.16988243600005012	368	True
