value	mean_E	var_E	mean_error	mean_abs_error	n_sims	subject	session	condition	sd_E	variant
2.5	10.85747966504097	73.27703240560521	8.35747966504097	8.35747966504097	1000	03	1	inverse_cdf	8.560200488633734	unsmoothed
3.0	15.358999439239502	63.252077295128046	12.358999439239502	12.358999439239502	1000	03	1	inverse_cdf	7.9531174576469095	unsmoothed
4.0	13.230260888576508	57.05941726111491	9.230260888576508	9.230510907649991	1000	03	1	inverse_cdf	7.55376841458056	unsmoothed
5.0	13.965021018505096	53.503840356961625	8.965021018505096	8.98437813425064	1000	03	1	inverse_cdf	7.314631935850335	unsmoothed
7.5	14.630982047557833	40.524641800951855	7.130982047557831	7.239206617832184	1000	03	1	inverse_cdf	6.365896779005442	unsmoothed
11.5	14.982282242774964	25.29575269744625	3.4822822427749633	3.9239185724258423	1000	03	1	inverse_cdf	5.029488313680255	unsmoothed
16.0	16.983073606967928	6.900276887669302	0.983073606967926	1.257908196926117	1000	03	1	inverse_cdf	2.6268378114511184	unsmoothed
18.5	20.892258603572845	21.746649997257055	2.3922586035728455	3.823771978855133	1000	03	1	inverse_cdf	4.663330354720439	unsmoothed
20.0	22.490111700057984	23.999510803921694	2.4901117000579833	4.276468957901001	1000	03	1	inverse_cdf	4.898929556946261	unsmoothed
21.0	23.02758123111725	20.993592926491697	2.0275812311172485	3.8868594999313353	1000	03	1	inverse_cdf	4.58187657259465	unsmoothed
21.5	23.39939839220047	20.736074430721175	1.89939839220047	3.772663627147675	1000	03	1	inverse_cdf	4.553688003225647	unsmoothed
22.0	22.91741937160492	9.446586022596204	0.9174193716049196	1.8754920167922973	1000	03	1	inverse_cdf	3.0735298961611233	unsmoothed
22.5	23.51370534133911	14.055730241429432	1.0137053413391113	2.588424686431885	1000	03	1	inverse_cdf	3.7490972568645686	unsmoothed
23.0	24.19772603273392	19.426831517396643	1.1977260327339172	3.367113112926483	1000	03	1	inverse_cdf	4.407587947777859	unsmoothed
24.0	24.57631371021271	18.46846011555681	0.5763137102127075	3.003710684776306	1000	03	1	inverse_cdf	4.297494632405817	unsmoothed
25.5	25.10088052272797	26.65022431272953	-0.3991194772720337	3.779512444496155	1000	03	1	inverse_cdf	5.1623855253874185	unsmoothed
28.0	26.46437348175049	23.789116341614054	-1.5356265182495117	3.5959588508605957	1000	03	1	inverse_cdf	4.8774087732743965	unsmoothed
32.5	26.91087077856064	30.87559684533208	-5.589129221439362	6.021812471866608	1000	03	1	inverse_cdf	5.556581399145709	unsmoothed
36.5	27.842006919384	35.5195881377154	-8.657993080615997	8.711588196277619	1000	03	1	inverse_cdf	5.959831217217095	unsmoothed
39.0	29.458891059875487	40.3849326037821	-9.541108940124513	9.549499618530271	1000	03	1	inverse_cdf	6.35491405164398	unsmoothed
40.0	30.80105651187897	42.56954644289351	-9.198943488121031	9.204831595420837	1000	03	1	inverse_cdf	6.524534193556925	unsmoothed
41.0	34.665778371810916	40.62831149307736	-6.334221628189087	6.334221628189087	1000	03	1	inverse_cdf	6.374034161586943	unsmoothed
41.5	29.700807423591613	41.72720275805098	-11.799192576408386	11.799192576408386	1000	03	1	inverse_cdf	6.459659647229952	unsmoothed
5.5	9.378052550792694	30.97362745202115	3.878052550792694	3.878052550792694	1000	03	2	cdf	5.5653955341935175	unsmoothed
8.0	13.956825844287872	31.136009406389032	5.956825844287872	5.977169307231903	1000	03	2	cdf	5.57996500046273	unsmoothed
10.0	16.482636837482453	35.16528811694773	6.482636837482453	6.622931035518646	1000	03	2	cdf	5.930032724778821	unsmoothed
11.0	17.06524770307541	29.837282453935433	6.065247703075409	6.2375206589698795	1000	03	2	cdf	5.462351366759139	unsmoothed
11.5	17.096792386054993	26.972897775943753	5.596792386054993	5.771017344474792	1000	03	2	cdf	5.193543855205591	unsmoothed
12.0	18.755160015106203	29.322471146718858	6.755160015106201	6.9669350814819335	1000	03	2	cdf	5.41502272818119	unsmoothed
12.5	18.96845831823349	27.978586840145073	6.46845831823349	6.758680769443512	1000	03	2	cdf	5.289478881718413	unsmoothed
13.0	19.27278213214874	26.02928108618217	6.272782132148743	6.593137705802918	1000	03	2	cdf	5.101889952378645	unsmoothed
14.0	16.958132208824157	15.675223520979811	2.9581322088241575	3.086347954750061	1000	03	2	cdf	3.959194807152057	unsmoothed
16.0	19.303245502471924	16.835664947194026	3.3032455024719236	3.696900440216064	1000	03	2	cdf	4.103128677874242	unsmoothed
18.5	21.014569149017333	16.214285230573765	2.514569149017334	3.473515274047851	1000	03	2	cdf	4.0266965654955635	unsmoothed
22.0	22.399430101394653	6.989472205952426	0.3994301013946533	1.5878547039031985	1000	03	2	cdf	2.643760996374753	unsmoothed
25.5	25.018457901000975	8.631965933731376	-0.4815420989990234	1.7285697593688965	1000	03	2	cdf	2.9380207510722887	unsmoothed
28.0	25.75801627922058	13.46477712826752	-2.241983720779419	2.9553452434539795	1000	03	2	cdf	3.669438257862846	unsmoothed
