true_deg	sd_deg	mae_deg	prior
7.5	9.831964179997113	6.587391	uniform [0,180)
15.0	8.762545411514262	6.4727902	uniform [0,180)
22.5	8.585344076705423	6.220173	uniform [0,180)
30.0	7.799161038309808	5.9191527	uniform [0,180)
37.499996	9.596287036644345	6.57746	uniform [0,180)
45.0	9.755589420794648	6.7073917	uniform [0,180)
52.499996	10.545539211624236	7.3208594	uniform [0,180)
60.0	9.866155390431278	7.059142	uniform [0,180)
67.5	10.957226796518935	7.463339	uniform [0,180)
74.99999	9.42703932496481	6.6772885	uniform [0,180)
82.49999	9.018220849013543	6.288014	uniform [0,180)
90.0	8.95832426220073	6.191654	uniform [0,180)
97.49999	10.496212654108	7.3648934	uniform [0,180)
104.99999	10.570521645770151	7.608026	uniform [0,180)
112.49999	10.592669577432329	7.315699	uniform [0,180)
120.0	10.928144037054457	7.608448	uniform [0,180)
127.49999	10.170792623988657	7.1288433	uniform [0,180)
135.0	8.797977879375289	6.320796	uniform [0,180)
142.49998	9.810623926522878	6.8869967	uniform [0,180)
149.99998	8.603265154263285	6.155784	uniform [0,180)
157.49998	9.654082884846192	6.722133	uniform [0,180)
164.99998	9.64006549863842	6.4584546	uniform [0,180)
172.5	9.560334511166031	6.6307273	uniform [0,180)
7.5	9.770245367679822	6.845094	trained (23)
15.0	8.714732624021625	6.075851	trained (23)
22.5	8.480896981054064	6.100765	trained (23)
30.0	7.870541974879917	5.9139376	trained (23)
37.499996	8.751734544384343	6.1948705	trained (23)
45.0	9.583911335898346	6.5273204	trained (23)
52.499996	10.77015328498714	7.3516808	trained (23)
60.0	10.359717130638073	7.359842	trained (23)
67.5	10.72490402228848	7.3454785	trained (23)
74.99999	9.438383176390351	6.628672	trained (23)
82.49999	8.355631819344627	6.038458	trained (23)
90.0	8.49320066815779	6.011011	trained (23)
97.49999	10.466541163242306	7.2185774	trained (23)
104.99999	9.911215103817991	6.9703603	trained (23)
112.49999	11.125952354462727	7.57669	trained (23)
120.0	9.30315014169028	6.6343064	trained (23)
127.49999	9.573056085049478	6.85316	trained (23)
135.0	8.847992471293566	6.2752976	trained (23)
142.49998	8.926385038156889	6.648687	trained (23)
149.99998	9.146186430891431	6.5040946	trained (23)
157.49998	9.01926956532996	6.2874947	trained (23)
164.99998	9.17543849190551	6.003287	trained (23)
172.5	10.377528689014266	6.9677825	trained (23)
